@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.365132]\'','\'(-1.365132--1.308456]\'','\'(-1.308456--1.25178]\'','\'(-1.25178--0.203277]\'','\'(-0.203277-0.221791]\'','\'(0.221791-0.448495]\'','\'(0.448495-0.675198]\'','\'(0.675198-0.901901]\'','\'(0.901901-1.128605]\'','\'(1.128605-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.05-5.35]\'','\'(-1.25178--0.203277]\'',2.5,1.1,Iris-versicolor
'\'(5.55-5.75]\'','\'(-0.203277-0.221791]\'',2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'','\'(1.128605-inf)\'',3.3,2.5,Iris-virginica
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',2.7,1.9,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3,2.1,Iris-virginica
'\'(6.05-6.35]\'','\'(0.901901-1.128605]\'',2.9,1.8,Iris-virginica
'\'(6.35-6.65]\'','\'(1.128605-inf)\'',3,2.2,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3,2.1,Iris-virginica
'\'(4.85-5.05]\'','\'(0.221791-0.448495]\'',2.5,1.7,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',2.9,1.8,Iris-virginica
'\'(6.65-6.95]\'','\'(1.128605-inf)\'',2.5,1.8,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3.6,2.5,Iris-virginica
'\'(6.35-6.65]\'','\'(0.675198-0.901901]\'',3.2,2,Iris-virginica
'\'(6.35-6.65]\'','\'(0.675198-0.901901]\'',2.7,1.9,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3,2.1,Iris-virginica
'\'(5.55-5.75]\'','\'(0.675198-0.901901]\'',2.5,2,Iris-virginica
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',2.8,2.4,Iris-virginica
'\'(6.35-6.65]\'','\'(0.675198-0.901901]\'',3.2,2.3,Iris-virginica
'\'(6.35-6.65]\'','\'(0.901901-1.128605]\'',3,1.8,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3.8,2.2,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',2.6,2.3,Iris-virginica
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',2.2,1.5,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3.2,2.3,Iris-virginica
'\'(5.55-5.75]\'','\'(0.448495-0.675198]\'',2.8,2,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',2.8,2,Iris-virginica
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',2.7,1.8,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3.3,2.1,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3.2,1.8,Iris-virginica
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',2.8,1.8,Iris-virginica
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',3,1.8,Iris-virginica
'\'(6.35-6.65]\'','\'(0.901901-1.128605]\'',2.8,2.1,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3,1.6,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',2.8,1.9,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3.8,2,Iris-virginica
'\'(6.35-6.65]\'','\'(0.901901-1.128605]\'',2.8,2.2,Iris-virginica
'\'(6.05-6.35]\'','\'(0.675198-0.901901]\'',2.8,1.5,Iris-virginica
'\'(6.05-6.35]\'','\'(0.901901-1.128605]\'',2.6,1.4,Iris-virginica
'\'(6.95-inf)\'','\'(1.128605-inf)\'',3,2.3,Iris-virginica
'\'(6.05-6.35]\'','\'(0.901901-1.128605]\'',3.4,2.4,Iris-virginica
'\'(6.35-6.65]\'','\'(0.901901-1.128605]\'',3.1,1.8,Iris-virginica
'\'(5.75-6.05]\'','\'(0.448495-0.675198]\'',3,1.8,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3.1,2.1,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3.1,2.4,Iris-virginica
'\'(6.65-6.95]\'','\'(0.675198-0.901901]\'',3.1,2.3,Iris-virginica
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',2.7,1.9,Iris-virginica
'\'(6.65-6.95]\'','\'(1.128605-inf)\'',3.2,2.3,Iris-virginica
'\'(6.65-6.95]\'','\'(0.901901-1.128605]\'',3.3,2.5,Iris-virginica
'\'(6.65-6.95]\'','\'(0.675198-0.901901]\'',3,2.3,Iris-virginica
'\'(6.05-6.35]\'','\'(0.675198-0.901901]\'',2.5,1.9,Iris-virginica
'\'(6.35-6.65]\'','\'(0.675198-0.901901]\'',3,2,Iris-virginica
'\'(6.05-6.35]\'','\'(0.901901-1.128605]\'',3.4,2.3,Iris-virginica
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',3,1.8,Iris-virginica
